ET1-008,2024-07-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,2MU
ET1-008,2024-07-23,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,2MU
site,date,hi_pass,lo_pass,Myyu,Myca,Myci,Myvo,Mylu,Pahe,Anpa,Epfu,Lano,Coto,Myth,Tabr,Laci,Euma,year,area
2MU03812,2024-07-22,380,30,0,0,0,16,0,0,0,0,10,0,0,0,0,0,2024,CP1
2MU03812,2024-07-23,384,24,0,0,0,11,1,0,0,0,7,0,0,0,0,0,2024,CP1
CP1-007,2024-07-24,510,55,0,0,0,15,0,0,0,0,8,0,0,0,0,0,2024,CP1
CP1-007,2024-07-25,207,31,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-007,2024-07-26,337,15,0,0,0,3,0,0,0,0,0,0,1,1,1,0,2024,CP1
CP1-007,2024-07-27,273,24,0,0,0,3,0,0,0,0,2,0,0,0,1,0,2024,CP1
CP1-007,2024-07-28,143,9,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-007,2024-07-29,658,36,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-007,2024-07-30,419,33,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2024,CP1
CP1-007,2024-07-31,137,14,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2024,CP1
CP1-007,2024-08-01,100,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-007,2024-08-02,129,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-007,2024-08-03,95,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-007,2024-08-04,449,9,0,0,0,6,0,0,0,0,2,0,1,0,0,0,2024,CP1
CP1-007,2024-07-02,16,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-007,2024-07-03,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-007,2024-07-04,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-007,2024-07-05,5,9,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2024,CP1
CP1-008,2024-07-06,5,15,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2024,CP1
CP1-008,2024-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-11,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2024,CP1
CP1-008,2024-07-12,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-008,2024-07-13,3,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2024,CP1
CP1-008,2024-07-14,4,38,0,0,0,0,0,0,0,0,21,1,0,1,0,0,2024,CP1
CP1-008,2024-07-15,2,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2024,CP1
CP1-008,2024-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-17,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-008,2024-07-18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-008,2024-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
